time_step_hr,sc_x_km,sc_y_km,sc_z_km,sc_vx_km_s,sc_vy_km_s,sc_vz_km_s,mars_dist_km,mass_kg,thrust_cmd_N,thrust_theta_rad,thrust_phi_rad,anomaly_active
62,-123347083.4711211,63063667.29794459,27349896.39255956,20.39651750181031,-21.283803997612086,-9.226189002489855,107836390.25480361,2747.0,0.0,3.2254996,0.0,False
63,-123273580.65995947,62987007.08029951,27316665.40511401,20.41744754490109,-21.29450490141025,-9.230829845985426,107941988.73014213,2747.0,0.0,3.2259898,0.0,False
64,-123200002.37751122,62910308.30037339,27283417.693696685,20.438411791177877,-21.30521664614582,-9.235475393700902,108047660.88722281,2747.0,0.0,3.22648,0.0,False
65,-123126348.50026846,62833570.919053294,27250153.24133525,20.459410345212177,-21.31593925558305,-9.240125655954355,108153406.8098681,2747.0,0.0,3.2269695,0.0,False
66,-123052618.90434515,62756794.89714049,27216872.03102011,20.480443312028918,-21.326672753556597,-9.244780643094455,108259226.58241877,2747.0,0.0,3.2274592,0.0,False
67,-122978813.46547556,62679980.19535019,27183574.045704305,20.501510797109,-21.337417163971764,-9.249440365500572,108365120.28973691,2747.0,0.0,3.2279482,0.0,False
68,-122904932.05901255,62603126.7743113,27150259.268303405,20.522612906391856,-21.348172510804744,-9.25410483358289,108471088.01720612,2747.0,0.0,3.2284367,0.0,False
69,-122830974.55992594,62526234.59456613,27116927.681695387,20.543749746278042,-21.358938818102875,-9.25877405778251,108577129.85073341,2747.0,0.0,3.228925,0.0,False
70,-122756940.84280087,62449303.61657018,27083579.26872053,20.564921423631827,-21.36971610998488,-9.263448048571558,108683245.87674938,2747.0,0.0,3.2294128,0.0,False
71,-122682830.78183605,62372333.80069187,27050214.012181297,20.586128045783816,-21.380504410641112,-9.268126816453291,108789436.18221103,2747.0,0.0,3.2299001,0.0,False
72,-122608644.25084212,62295325.10721227,27016831.894842234,20.607369720533594,-21.39130374433382,-9.272810371962215,108895700.85460141,2747.0,0.0,3.230387,0.0,False
73,-122534381.12323998,62218277.49632484,26983432.899429843,20.62864655615237,-21.402114135397376,-9.277498725664183,109002039.9819321,2747.0,0.0,3.2308743,0.0,False
74,-122460041.272059,62141190.92813518,26950017.00863248,20.64995866138565,-21.41293560823855,-9.282191888156508,109108453.65274338,2747.0,0.0,3.2313602,0.0,False
75,-122385624.56993535,62064065.362660766,26916584.205100235,20.67130614545594,-21.423768187336737,-9.286889870068073,109214941.95610674,2747.0,0.0,3.2318468,0.0,False
76,-122311130.88911031,61986900.75983068,26883134.47144482,20.692689118065445,-21.434611897244235,-9.291592682059445,109321504.9816255,2747.0,0.0,3.2323325,0.0,False
77,-122236560.10142848,61909697.07948537,26849667.790239457,20.714107689398805,-21.445466762586474,-9.296300334822979,109428142.81943598,2747.0,0.0,3.2328174,0.0,False
78,-122161912.07833603,61832454.28137635,26816184.144018758,20.735561970125843,-21.456332808062285,-9.301012839082928,109534855.560209,2747.0,0.0,3.2333024,0.0,False
79,-122087186.69087897,61755172.32516595,26782683.515278615,20.757052071404328,-21.467210058444156,-9.305730205595559,109641643.29515153,2747.0,0.0,3.2337868,0.0,False
80,-122012383.8097014,61677851.17042707,26749165.886476077,20.778578104882765,-21.47809853857847,-9.310452445149265,109748506.11600763,2747.0,0.0,3.2342713,0.0,False
81,-121937503.30504367,61600490.77664288,26715631.240029246,20.800140182703206,-21.48899827338579,-9.31517956856467,109855444.11505987,2747.0,0.0,3.2347553,0.0,False
82,-121862545.04674065,61523091.10320658,26682079.558317143,20.821738417504072,-21.499909287861083,-9.319911586694744,109962457.38513091,2747.0,0.0,3.235238,0.0,False
83,-121787508.90421993,61445652.10942112,26648510.823679615,20.843372922422997,-21.510831607074007,-9.32464851042492,110069546.01958518,2747.0,0.0,3.2357213,0.0,False
84,-121712394.74649997,61368173.754498914,26614925.01841719,20.865043811099696,-21.52176525616915,-9.329390350673199,110176710.11232822,2747.0,0.0,3.2362041,0.0,False
85,-121637202.44218832,61290655.9975616,26581322.124790985,20.886751197678855,-21.5327102603663,-9.33413711839027,110283949.75781187,2747.0,0.0,3.2366865,0.0,False
86,-121561931.8594798,61213098.797639735,26547702.12502257,20.908495196813032,-21.543666644960705,-9.338888824559618,110391265.05103196,2747.0,0.0,3.2371683,0.0,False
87,-121486582.86615461,61135502.11367257,26514065.00129386,20.93027592366559,-21.554634435323326,-9.343645480197639,110498656.0875319,2747.0,0.0,3.23765,0.0,False
88,-121411155.32957652,61057865.90450773,26480410.735746987,20.95209349391364,-21.565613656901107,-9.348407096353757,110606122.96340342,2747.0,0.0,3.238131,0.0,False
89,-121335649.11669102,60980190.128900945,26446739.31048419,20.973948023751014,-21.576604335217233,-9.353173684110535,110713665.77528791,2747.0,0.0,3.2386115,0.0,False
90,-121260064.09402342,60902474.74551581,26413050.707567688,20.99583962989125,-21.587606495871395,-9.357945254583791,110821284.62037875,2747.0,0.0,3.2390926,0.0,False
91,-121184400.12767696,60824719.71292347,26379344.909019567,21.01776842957061,-21.59862016454005,-9.362721818922713,110928979.59642126,2747.0,0.0,3.239572,0.0,False
92,-121108657.08333097,60746924.98960235,26345621.89682165,21.039734540551102,-21.6096453669767,-9.367503388309975,111036750.80171578,2747.0,0.0,3.240052,0.0,False
93,-121032834.82623893,60669090.53393791,26311881.65291539,21.061738081123547,-21.62068212901214,-9.372289973961852,111144598.33511744,2747.0,0.0,3.240531,0.0,False
94,-120956933.22122653,60591216.30422231,26278124.159201726,21.08377917011065,-21.631730476554726,-9.377081587128334,111252522.29604001,2747.0,0.0,3.24101,0.0,False
95,-120880952.13268979,60513302.258654185,26244349.39754099,21.105857926870087,-21.642790435590662,-9.381878239093245,111360522.78445502,2747.0,0.0,3.2414887,0.0,False
96,-120804891.42459312,60435348.35533832,26210557.34975276,21.12797447129764,-21.653862032184247,-9.386679941174362,111468599.9008948,2747.0,0.0,3.2419665,0.0,False
97,-120728750.96046734,60357354.552285396,26176747.99761576,21.15012892383034,-21.664945292478148,-9.391486704723528,111576753.74645364,2747.0,0.0,3.2424443,0.0,False
98,-120652530.60340773,60279320.8074117,26142921.322867703,21.172321405449615,-21.676040242693677,-9.39629854112677,111684984.4227887,2747.0,0.0,3.2429218,0.0,False
99,-120576230.21607207,60201247.07853883,26109077.307205208,21.194552037684492,-21.687146909131055,-9.401115461804416,111793292.03212352,2747.0,0.0,3.243399,0.0,False
100,-120499849.66067865,60123133.32339342,26075215.932283647,21.2168209426148,-21.698265318169682,-9.405937478211218,111901676.67724702,2747.0,0.0,3.2438755,0.0,False
101,-120423388.7990043,60044979.499606855,26041337.179717038,21.23912824287441,-21.709395496268414,-9.410764601836464,112010138.46151637,2747.0,0.0,3.2443516,0.0,False
102,-120346847.49238235,59966785.564714976,26007441.031077903,21.261474061654496,-21.72053746996583,-9.415596844204101,112118677.48885953,2747.0,0.0,3.2448273,0.0,False
103,-120270225.6017006,59888551.47615781,25973527.46789716,21.283858522706794,-21.731691265880507,-9.420434216872852,112227293.86377503,2747.0,0.0,3.245303,0.0,False
104,-120193522.98739935,59810277.19127925,25939596.471663993,21.306281750346926,-21.7428569107113,-9.425276731436337,112335987.69133472,2747.0,0.0,3.2457783,0.0,False
105,-120116739.5094693,59731962.66732679,25905648.02382571,21.328743869457725,-21.754034431237603,-9.430124399523192,112444759.07718566,2747.0,0.0,3.2462528,0.0,False
106,-120039875.02744953,59653607.861451246,25871682.10578764,21.35124500549258,-21.76522385431964,-9.434977232797186,112553608.12755094,2747.0,0.0,3.2467268,0.0,False
107,-119962929.4004254,59575212.73070641,25837698.698912993,21.373785284478814,-21.776425206898733,-9.439835242957345,112662534.94923158,2747.0,0.0,3.2472012,0.0,False
108,-119885902.48702653,59496777.23204882,25803697.784522735,21.39636483302109,-21.787638515997575,-9.444698441738074,112771539.64960876,2747.0,0.0,3.2476745,0.0,False
109,-119808794.14542463,59418301.322337426,25769679.34389546,21.418983778304828,-21.798863808720515,-9.449566840909274,112880622.33664495,2747.0,0.0,3.2481477,0.0,False
110,-119731604.23333147,59339784.95833331,25735643.358267266,21.44164224809967,-21.810101112253832,-9.454440452276463,112989783.11888613,2747.0,0.0,3.2486205,0.0,False
111,-119654332.60799673,59261228.096699394,25701589.808831614,21.464340370762937,-21.82135045386602,-9.459319287680904,113099022.10546286,2747.0,0.0,3.2490928,0.0,False
112,-119576979.12620586,59182630.694000125,25667518.676739216,21.487078275243142,-21.832611860908063,-9.464203358999718,113208339.40609264,2747.0,0.0,3.2495646,0.0,False
113,-119499543.64427796,59103992.7067012,25633429.94309789,21.509856091083513,-21.843885360813708,-9.469092678146014,113317735.13108082,2747.0,0.0,3.2500365,0.0,False
114,-119422026.01806363,59025314.09116924,25599323.58897244,21.532673948425543,-21.85517098109976,-9.473987257069007,113427209.39132425,2747.0,0.0,3.2505076,0.0,False
115,-119344426.1029428,58946594.80367152,25565199.595384527,21.555531978012578,-21.866468749366362,-9.478887107754142,113536762.2983102,2747.0,0.0,3.2509782,0.0,False
116,-119266743.7538225,58867834.80037565,25531057.943312522,21.578430311193408,-21.877778693297262,-9.483792242223217,113646393.96412155,2747.0,0.0,3.2514489,0.0,False
117,-119188978.82513477,58789034.03734927,25496898.613691397,21.601369079925906,-21.88910084066012,-9.488702672534508,113756104.5014348,2747.0,0.0,3.251919,0.0,False
118,-119111131.17083436,58710192.47055976,25462721.587412577,21.624348416780688,-21.900435219306768,-9.49361841078289,113865894.0235255,2747.0,0.0,3.2523887,0.0,False
119,-119033200.64439656,58631310.05587394,25428526.845323816,21.64736845494479,-21.911781857173516,-9.498539469099962,113975762.6442681,2747.0,0.0,3.2528577,0.0,False
120,-118955187.09881495,58552386.749057725,25394314.36822906,21.670429328225385,-21.92314078228142,-9.503465859654174,114085710.47813739,2747.0,0.0,3.2533267,0.0,False
121,-118877090.38659915,58473422.50577588,25360084.136888318,21.69353117105352,-21.934512022736577,-9.50839759465095,114195737.64021233,2747.0,0.0,3.2537951,0.0,False
122,-118798910.3597726,58394417.28159165,25325836.13201752,21.71667411848789,-21.945895606730414,-9.513334686332808,114305844.24617612,2747.0,0.0,3.2542634,0.0,False
123,-118720646.8698702,58315371.0319665,25291570.334288392,21.739858306218622,-21.957291562539968,-9.518277146979495,114416030.41231884,2747.0,0.0,3.254731,0.0,False
124,-118642299.76793614,58236283.7122598,25257286.724328324,21.7630838705711,-21.968699918528173,-9.523224988908103,114526296.25553979,2747.0,0.0,3.2551982,0.0,False
125,-118563868.90452151,58157155.27772848,25222985.28272022,21.78635094850983,-21.980120703144163,-9.528178224473203,114636641.89334852,2747.0,0.0,3.255665,0.0,False
126,-118485354.129682,58077985.68352676,25188665.99000238,21.8096596776423,-21.991553944923538,-9.533136866066965,114747067.4438667,2747.0,0.0,3.256132,0.0,False
127,-118406755.2929756,57998774.884705804,25154328.82666835,21.833010196222908,-22.002999672488677,-9.538100926119286,114857573.02583154,2747.0,0.0,3.2565978,0.0,False
128,-118328072.24346024,57919522.836213425,25119973.773166794,21.85640264315688,-22.014457914549013,-9.543070417097919,114968158.75859596,2747.0,0.0,3.2570636,0.0,False
129,-118249304.82969142,57840229.49289378,25085600.809901364,21.879837158004257,-22.02592869990133,-9.548045351508595,115078824.76213247,2747.0,0.0,3.257529,0.0,False
130,-118170452.89971988,57760894.80948703,25051209.917230543,21.90331388098388,-22.037412057430053,-9.553025741895157,115189571.1570329,2747.0,0.0,3.257994,0.0,False
131,-118091516.30108917,57681518.74062904,25016801.07546752,21.926832952977424,-22.048908016107546,-9.558011600839682,115300398.06451221,2747.0,0.0,3.2584584,0.0,False
132,-118012494.88083325,57602101.24085106,24982374.264880054,21.950394515533446,-22.060416604994394,-9.563002940962612,115411305.60641016,2747.0,0.0,3.2589226,0.0,False
133,-117933388.48547411,57522642.26457939,24947929.46569033,21.973998710871484,-22.071937853239703,-9.567999774922876,115522293.90519296,2747.0,0.0,3.2593863,0.0,False
134,-117854196.96101932,57443141.7661351,24913466.658074826,21.99764568188617,-22.083471790081397,-9.57300211541803,115633363.08395535,2747.0,0.0,3.2598498,0.0,False
135,-117774920.15295957,57363599.69973365,24878985.822164163,22.021335572151372,-22.09501844484651,-9.578009975184372,115744513.2664232,2747.0,0.0,3.2603128,0.0,False
136,-117695557.90626624,57284016.019484624,24844486.938042972,22.045068525924396,-22.106577846951474,-9.58302336699708,115855744.57695478,2747.0,0.0,3.2607749,0.0,False
137,-117616110.0653889,57204390.67939138,24809969.98574976,22.06884468815018,-22.118150025902427,-9.588042303670338,115967057.14054388,2747.0,0.0,3.2612374,0.0,False
138,-117536576.47425282,57124723.633350715,24775434.945276752,22.092664204465535,-22.1297350112955,-9.593066798057464,116078451.0828217,2747.0,0.0,3.2616994,0.0,False
139,-117456956.97625649,57045014.835152574,24740881.79656977,22.116527221203444,-22.141332832817124,-9.598096863051042,116189926.53005807,2747.0,0.0,3.2621605,0.0,False
140,-117377251.41426906,56965264.238479696,24706310.51952807,22.140433885397346,-22.152943520244314,-9.60313251158305,116301483.60916366,2747.0,0.0,3.2626216,0.0,False
141,-117297459.63062783,56885471.79690729,24671721.094004218,22.164384344785493,-22.164567103444973,-9.608173756624991,116413122.44769467,2747.0,0.0,3.2630823,0.0,False
142,-117217581.4671357,56805637.46390273,24637113.49980394,22.188378747815314,-22.1762036123782,-9.613220611188023,116524843.17385197,2747.0,0.0,3.2635424,0.0,False
143,-117137616.76505856,56725761.19282518,24602487.716685977,22.212417243647835,-22.18785307709457,-9.618273088323088,116636645.9164845,2747.0,0.0,3.2640023,0.0,False
144,-117057565.36512278,56645842.93692533,24567843.72436194,22.236499982162112,-22.19951552773645,-9.623331201121045,116748530.80509156,2747.0,0.0,3.2644615,0.0,False
145,-116977427.10751252,56565882.64934499,24533181.502496175,22.260627113959703,-22.211190994538295,-9.628394962712802,116860497.96982494,2747.0,0.0,3.2649205,0.0,False
146,-116897201.83186719,56485880.28311681,24498501.030705605,22.28479879036919,-22.222879507826935,-9.63346438626944,116972547.54149127,2747.0,0.0,3.2653792,0.0,False
147,-116816889.37727876,56405835.79116393,24463802.288559597,22.309015163450717,-22.2345810980219,-9.638539485002351,117084679.65155423,2747.0,0.0,3.2658372,0.0,False
148,-116736489.58228916,56325749.12629964,24429085.25557981,22.333276386000556,-22.246295795635696,-9.643620272163368,117196894.4321372,2747.0,0.0,3.266295,0.0,False
149,-116656002.28488755,56245620.24122705,24394349.91124005,22.357582611555745,-22.258023631274128,-9.648706761044897,117309192.01602465,2747.0,0.0,3.2667525,0.0,False
150,-116575427.32250772,56165449.08853876,24359596.23496612,22.381933994398718,-22.269764635636594,-9.653798964980048,117421572.53666563,2747.0,0.0,3.2672095,0.0,False
151,-116494764.5320253,56085235.6207165,24324824.206135686,22.406330689562,-22.28151883951638,-9.658896897342766,117534036.12817493,2747.0,0.0,3.267666,0.0,False
152,-116414013.74975511,56004979.79013082,24290033.804078113,22.430772852832927,-22.293286273800977,-9.664000571547966,117646582.92533664,2747.0,0.0,3.268122,0.0,False
153,-116333174.81144838,55924681.54904071,24255225.00807433,22.4552606407584,-22.30506696947237,-9.669110001051664,117759213.06360628,2747.0,0.0,3.2685778,0.0,False
154,-116252247.55229004,55844340.84959333,24220397.797356665,22.479794210649686,-22.316860957607357,-9.674225199351108,117871926.67911161,2747.0,0.0,3.2690332,0.0,False
155,-116171231.80689593,55763957.643823564,24185552.15110872,22.504373720587246,-22.32866826937784,-9.679346179984915,117984723.90865728,2747.0,0.0,3.269488,0.0,False
156,-116090127.40931,55683531.88365378,24150688.0484652,22.528999329425602,-22.340488936051134,-9.684472956533199,118097604.88972662,2747.0,0.0,3.2699428,0.0,False
157,-116008934.19300152,55603063.52089342,24115805.468511775,22.55367119679825,-22.35232298899028,-9.689605542617707,118210569.76048295,2747.0,0.0,3.2703972,0.0,False
158,-115927651.99086228,55522552.507238664,24080904.39028493,22.578389483122596,-22.36417045965434,-9.694743951901955,118323618.65977333,2747.0,0.0,3.2708507,0.0,False
159,-115846280.6352037,55441998.79427211,24045984.7927718,22.603154349604957,-22.3760313795987,-9.699888198091353,118436751.72713059,2747.0,0.0,3.271304,0.0,False
160,-115764819.95775402,55361402.333462395,24011046.654910043,22.62796595824556,-22.387905780475393,-9.705038294933347,118549969.102776,2747.0,0.0,3.271757,0.0,False
161,-115683269.78965537,55280763.07616387,23976089.95558766,22.652824471843626,-22.399793694033384,-9.71019425621755,118663270.9276214,2747.0,0.0,3.2722094,0.0,False
162,-115601629.96146096,55200080.97361624,23941114.673642866,22.677730054002453,-22.41169515211889,-9.715356095775872,118776657.34327284,2747.0,0.0,3.2726617,0.0,False
163,-115519900.30313207,55119355.97694421,23906120.78786393,22.702682869134573,-22.42361018667569,-9.720523827482662,118890128.492031,2747.0,0.0,3.2731133,0.0,False
164,-115438080.64403519,55038588.037157126,23871108.276989013,22.727683082466925,-22.435538829745404,-9.725697465254832,119003684.51689643,2747.0,0.0,3.2735646,0.0,False
165,-115356170.81293902,54957777.10514864,23836077.119706027,22.752730860046075,-22.447481113467845,-9.730877023051999,119117325.56156959,2747.0,0.0,3.2740154,0.0,False
166,-115274170.63801154,54876923.13169635,23801027.294652473,22.77782636874349,-22.45943707008129,-9.736062514876618,119231051.77045625,2747.0,0.0,3.2744658,0.0,False
167,-115192079.94681701,54796026.06746143,23765958.780415285,22.80296977626083,-22.471406731922805,-9.741253954774113,119344863.28866734,2747.0,0.0,3.2749162,0.0,False
